Valid Date time,Valid String,Valid number,Valid Boolean,Valid Category
2020-10-09,fight,735,false,D
2023-05-12,include,566,false,B
2022-11-04,gun,570,true,B
2023-08-22,bit,323,true,B
2023-10-01,open,872,true,A
2020-03-07,short,686,true,C
2021-08-10,attorney,792,false,D
2023-05-11,right,626,true,B
2022-08-02,daughter,288,true,A
2023-06-06,those,943,true,B
2020-11-14,do,854,false,C
2022-11-18,account,663,true,B
2023-05-06,pretty,962,true,B
2020-10-30,carry,639,false,D
2023-08-24,anyone,155,true,A
2023-09-15,executive,490,true,A
2022-06-04,everybody,386,true,A
2022-04-07,easy,986,true,C
2020-07-26,their,785,true,D
2020-03-26,reveal,104,true,B
2021-03-24,will,929,true,B
2021-02-21,light,393,true,B
2022-11-06,similar,811,false,D
2020-12-05,exist,246,false,C
2020-05-27,kid,176,false,C
2023-03-08,inside,39,false,D
2023-09-11,claim,477,true,D
2023-07-14,these,682,true,D
2020-06-06,treatment,759,false,D
2022-10-16,important,538,true,D
2021-05-09,fine,867,false,B
2023-05-04,do,818,true,A
2020-01-14,have,921,true,D
2021-06-01,professional,408,true,C
2020-09-03,though,525,false,D
2023-05-08,alone,828,true,A
2020-02-23,computer,506,false,C
2022-08-22,activity,903,true,B
2022-04-23,manage,825,false,D
2020-11-21,pattern,36,false,B
2021-11-28,election,685,true,C
2023-07-27,food,20,true,C
2020-01-19,page,321,false,A
2021-03-15,card,776,true,B
2020-06-25,receive,512,false,B
2021-12-26,about,400,false,C
2022-02-01,wind,654,false,B
2021-08-23,claim,972,true,A
2020-11-22,officer,883,true,D
2020-04-04,model,471,false,D
2021-07-04,none,143,true,C
2023-09-03,total,92,false,C
2020-11-16,business,354,true,C
2020-11-23,them,834,false,A
2020-07-03,star,800,false,C
2021-01-07,prove,727,true,D
2022-03-01,might,959,false,D
2022-03-13,court,854,false,B
2023-09-29,apply,51,false,D
2022-08-12,eye,665,true,B
2022-11-16,lose,698,true,D
2021-10-26,identify,575,false,C
2023-12-20,guy,190,false,D
2020-10-30,deal,125,true,A
2021-01-10,time,150,true,A
2023-03-11,see,314,true,D
2023-12-30,organization,570,false,B
2021-07-25,happy,342,true,B
2023-07-21,age,305,true,D
2022-12-09,until,692,true,B
2022-02-26,senior,682,true,D
2023-09-08,bank,838,false,A
2021-03-08,upon,783,false,B
2022-07-26,television,54,true,D
2023-01-29,down,444,false,D
2020-11-16,then,613,true,A
2020-12-29,ball,993,false,D
2021-07-22,technology,264,false,B
2020-07-19,ground,53,false,C
2020-12-19,spring,572,false,D
2022-06-16,trial,620,true,B
2020-05-06,order,5,false,C
2023-11-25,threat,103,true,D
2023-02-24,stop,196,false,C
2020-12-17,main,774,true,B
2022-10-15,low,877,true,C
2022-09-21,commercial,992,false,C
2020-11-01,bring,884,true,B
2022-09-06,someone,350,false,C
2022-07-18,yet,47,true,D
2022-11-10,design,867,true,B
2021-05-10,class,823,false,C
2022-03-27,hear,936,true,A
2022-02-21,mouth,820,true,C
2020-11-24,bed,656,true,D
2023-09-29,tax,269,false,C
2021-11-21,star,370,true,A
2023-01-22,situation,636,false,C
2020-03-20,every,106,true,D
2023-03-16,institution,670,false,D
2023-12-20,realize,659,true,B
2023-08-25,health,657,true,B
2022-12-09,push,120,true,B
2021-04-09,party,831,true,A
2023-02-07,case,787,true,D
2023-09-24,fish,604,false,B
2023-10-10,visit,58,true,C
2023-02-08,sell,951,false,D
2022-10-15,age,346,true,B
2021-08-23,song,741,true,C
2023-09-01,wish,474,true,B
2023-04-18,public,117,true,C
2022-03-14,mouth,830,true,A
2020-11-17,article,791,false,C
2020-08-09,choose,127,false,D
2020-08-13,hundred,393,false,D
2020-07-06,staff,908,true,C
2021-02-02,community,641,true,B
2020-09-20,control,58,true,D
2020-03-16,successful,634,false,C
2023-02-06,skin,513,true,B
2022-03-28,bill,751,false,C
2023-03-19,serve,802,false,C
2020-12-19,wonder,96,true,C
2021-11-14,someone,638,false,B
2022-03-19,media,118,true,A
2021-07-03,strategy,560,false,A
2021-05-21,year,601,false,D
2021-01-11,fast,488,true,C
2021-12-12,mean,237,true,B
2023-07-26,month,885,true,C
2021-01-06,treat,897,true,C
2020-12-24,him,272,false,D
2021-03-15,exactly,189,true,B
2023-03-21,they,999,true,D
2022-03-18,certain,704,true,D
2023-06-22,address,447,false,C
2020-12-17,through,581,false,A
2020-06-23,hand,790,false,B
2023-07-10,more,861,true,B
2021-05-02,message,247,false,B
2020-11-15,tough,963,false,C
2021-04-05,set,76,true,C
2022-12-26,should,154,true,D
2021-03-19,save,656,false,A
2020-09-20,most,435,true,D
2021-03-09,out,997,false,B
2022-06-03,out,86,false,D
2021-01-25,language,697,true,D
2023-03-08,chance,285,false,B
2021-10-24,never,974,true,A
2020-05-19,support,220,false,A
2020-11-18,fly,69,false,B
2023-03-21,six,47,false,C
2021-02-02,hotel,94,false,D
2023-11-13,window,750,false,A
2021-01-26,country,958,true,A
2020-03-02,my,453,true,C
2020-06-20,few,204,false,B
2022-11-01,course,912,false,A
2021-08-07,maintain,218,false,C
2023-09-18,when,474,true,A
2023-03-16,program,432,false,C
2020-10-20,in,341,false,A
2022-10-02,piece,551,true,C
2022-08-28,result,612,true,B
2020-01-29,yard,289,false,D
2022-03-11,father,254,false,A
2022-02-07,better,734,false,D
2021-02-12,listen,357,false,B
2020-07-27,popular,23,false,D
2022-12-21,no,762,true,B
2023-07-28,material,522,true,A
2022-03-22,produce,758,true,B
2022-01-04,ready,837,true,D
2020-02-11,me,100,false,C
2022-06-08,interesting,802,true,D
2022-04-26,realize,180,true,A
2023-03-23,something,223,false,B
2022-04-01,so,906,true,C
2021-12-20,reflect,762,true,D
2023-12-04,notice,659,false,A
2022-10-24,money,442,false,C
2021-11-05,leave,608,false,C
2020-01-29,goal,769,true,A
2021-10-15,manage,325,false,B
2022-08-15,nor,516,true,D
2022-10-17,free,16,false,C
2023-04-03,production,792,true,B
2023-05-03,seven,336,false,D
2021-09-18,yet,759,false,C
2022-10-11,foot,258,true,D
2022-09-24,mother,497,false,A
2023-04-24,mind,988,true,B
2022-04-18,product,896,true,B
2021-06-02,move,160,false,C
2022-02-16,level,475,false,D
2021-11-30,red,852,true,D
2021-10-21,buy,664,true,C
2021-03-31,explain,908,true,C
2021-03-17,miss,690,false,C
2021-12-02,shake,675,true,B
2020-05-04,include,380,false,D
2020-04-07,put,545,true,C
2021-08-18,series,929,false,D
2020-01-26,sea,957,false,D
2021-09-11,bill,691,false,A
2021-02-18,offer,427,true,C
2022-03-20,loss,613,false,A
2020-04-13,remain,268,true,C
2022-11-05,trade,835,false,A
2020-05-04,big,577,true,C
2023-10-04,say,417,false,B
2022-11-11,bar,168,false,B
2023-05-04,sea,842,true,D
2023-02-01,fact,43,false,D
2020-07-12,road,556,true,D
2022-06-04,range,285,true,D
2022-04-24,think,397,false,A
2020-04-17,activity,12,true,B
2020-03-15,court,607,false,C
2023-05-23,hard,302,false,A
2023-07-08,happen,898,false,A
2021-07-12,provide,253,false,B
2022-05-01,practice,499,false,A
2023-05-11,second,754,true,D
2020-01-20,we,35,false,C
2020-07-20,term,727,true,D
2020-08-29,local,849,false,A
2020-09-05,look,90,true,A
2021-11-12,say,776,true,C
2020-06-13,traditional,605,true,D
2021-01-06,I,922,true,C
2020-01-15,trade,970,false,D
2020-08-11,agreement,602,true,C
2021-06-19,story,418,true,A
2022-07-01,between,115,false,D
2020-04-03,stop,617,false,A
2023-04-04,miss,903,false,D
2023-01-16,along,196,false,B
2021-07-27,purpose,826,false,D
2022-08-20,occur,501,true,C
2022-10-05,teach,626,true,A
2022-10-11,which,493,true,D
2022-07-21,ever,75,true,C
2022-05-04,first,413,true,D
2020-02-12,federal,376,true,A
2020-01-06,beat,420,false,C
2021-05-09,memory,729,false,C
2022-11-27,break,277,false,B
2020-11-12,career,761,false,C
2022-08-06,best,676,true,C
2020-02-27,table,394,false,C
2023-07-30,inside,869,true,C
2021-08-30,human,457,false,A
2023-09-04,face,920,false,A
2022-06-20,then,192,true,B
2022-08-12,figure,739,true,B
2020-05-02,face,689,true,B
2020-04-05,bad,99,true,B
2021-09-05,machine,548,true,D
2020-10-31,PM,978,true,A
2022-04-20,consumer,999,false,A
2020-02-09,score,96,false,D
2021-05-27,note,664,false,C
2023-06-27,similar,663,true,C
2021-12-10,base,190,false,A
2021-12-25,account,736,true,A
2022-12-13,white,37,false,A
2021-06-04,will,780,true,B
2020-04-13,culture,369,true,C
2021-02-22,research,695,false,B
2021-12-04,ago,525,false,B
2022-02-12,research,279,true,C
2023-10-29,show,217,true,A
2021-05-14,stand,867,true,A
2022-11-14,card,873,false,C
2021-07-12,relationship,798,false,C
2021-07-14,study,273,true,C
2020-08-27,party,881,true,D
2020-01-21,perhaps,62,false,C
2021-03-22,and,596,false,B
2020-12-08,themselves,880,false,A
2020-07-05,drop,729,false,D
2021-10-03,trip,342,true,B
2020-08-20,election,397,true,C
2021-05-28,speak,699,true,A
2022-01-25,less,19,true,B
2023-07-04,information,177,true,C
2023-06-12,represent,612,false,B
2023-05-02,general,396,true,A
2022-09-26,decide,445,false,B
2023-02-28,everyone,233,false,C
2023-08-20,clearly,915,true,A
2023-11-26,gun,76,false,B
2020-11-02,money,265,true,D
2023-07-25,between,455,false,C
2022-08-30,president,796,true,C
2020-12-15,building,718,false,A
2022-03-29,light,735,true,B
2021-09-02,clearly,384,true,A
2021-03-22,office,564,true,D
2022-07-04,each,851,true,C
2023-10-15,down,506,false,C
2022-09-04,perhaps,367,false,C
2023-10-06,others,144,false,D
2022-02-28,woman,885,false,D
2020-12-07,lose,69,true,A
2022-08-16,enter,99,false,B
2023-10-10,article,396,false,A
2022-07-31,memory,25,true,B
2023-09-04,phone,948,false,A
2023-12-13,miss,891,false,A
2020-04-27,fact,469,true,B
2022-05-20,road,484,true,C
2022-05-03,continue,565,false,C
2023-12-23,guess,151,false,D
2021-10-23,consider,144,true,A
2020-01-03,hotel,569,true,C
2023-10-21,knowledge,39,true,B
2021-09-20,real,109,false,A
2020-01-22,care,693,false,B
2022-07-19,check,42,false,C
2023-12-16,school,186,false,D
2020-06-14,course,935,false,D
2022-03-08,way,398,true,C
2022-02-16,color,223,true,C
2023-03-16,it,634,false,B
2021-11-13,road,133,false,B
2022-08-01,still,163,false,A
2021-11-12,weight,215,true,C
2023-03-20,including,733,false,D
2023-08-06,radio,235,true,C
2023-10-01,usually,843,false,A
2020-04-09,argue,658,false,D
2020-05-23,down,751,true,C
2023-06-11,drive,588,true,B
2021-07-25,moment,9,false,C
2021-02-12,risk,74,true,B
2020-10-02,yourself,954,false,B
2022-12-14,child,492,false,A
2020-08-11,article,913,true,B
2022-09-01,natural,253,true,C
2021-07-01,traditional,230,true,C
2022-06-15,stop,519,true,B
2021-04-20,reflect,174,false,D
2020-04-24,second,653,true,C
2022-04-26,yet,168,false,B
2020-04-22,choice,170,false,A
2022-04-08,imagine,393,false,A
2021-10-16,state,946,true,C
2020-06-04,money,795,true,C
2022-09-05,true,634,false,A
2023-09-15,even,194,false,C
2021-12-08,fire,517,true,D
2023-01-28,brother,29,true,A
2020-06-12,clear,165,true,A
2022-05-29,cup,422,false,B
2021-02-07,partner,339,true,A
2022-02-04,evening,648,false,B
2022-05-14,will,496,true,C
2023-08-02,executive,365,true,B
2021-03-26,finish,833,false,D
2020-10-30,explain,342,true,C
2023-10-10,mouth,500,false,C
2022-04-21,weight,657,false,B
2022-10-11,radio,511,false,B
2022-11-13,end,327,true,B
2020-09-24,example,217,true,A
2022-02-08,Democrat,301,false,B
2023-11-26,free,132,true,C
2023-04-16,believe,804,true,C
2023-12-15,else,70,false,D
2022-06-05,media,252,true,A
2022-07-05,street,415,false,C
2023-01-15,decade,787,false,C
2020-03-03,stop,445,true,A
2020-04-25,measure,876,false,C
2021-09-19,change,182,true,B
2020-04-11,happen,167,true,C
2021-05-24,again,91,true,D
2023-11-15,technology,714,true,B
2021-09-27,you,858,true,A
2023-05-19,language,531,true,D
2022-09-28,room,39,true,A
2023-06-02,bad,126,true,A
2021-08-15,letter,451,true,D
2020-04-09,dog,173,false,A
2022-11-19,force,653,false,B
2021-12-28,movement,754,true,C
2020-01-21,fight,220,true,C
2023-03-15,outside,638,true,A
2020-01-31,soon,58,true,C
2023-03-18,huge,660,false,C
2023-10-27,age,476,true,B
2021-05-08,daughter,456,true,A
2023-06-04,never,829,false,A
2023-03-31,plan,895,true,C
2023-03-03,politics,361,true,C
2023-01-25,sister,935,false,A
2021-11-23,school,1,false,B
2020-08-08,example,387,false,C
2023-09-19,live,973,false,C
2022-01-10,prepare,348,false,A
2022-03-01,throw,190,true,A
2020-05-13,him,505,true,C
2023-09-28,age,191,true,B
2022-12-24,apply,508,true,A
2020-04-08,employee,369,false,B
2021-02-15,democratic,409,false,A
2023-06-06,apply,824,true,A
2023-04-03,general,929,false,B
2020-02-24,house,934,false,B
2021-08-21,image,117,true,C
2021-01-27,important,134,false,A
2023-03-13,early,58,false,A
2023-05-12,test,556,true,A
2023-06-17,kid,685,true,C
2022-11-16,ball,672,false,C
2021-12-12,laugh,173,true,A
2023-05-03,medical,829,false,B
2021-10-18,month,815,false,C
2022-02-08,him,149,true,A
2022-10-18,assume,80,true,C
2020-06-03,prepare,886,false,C
2021-04-26,indeed,213,true,C
2022-05-01,word,203,true,B
2020-04-05,enough,764,false,B
2022-02-24,mention,229,false,D
2022-03-09,age,676,true,C
2023-08-01,approach,227,true,A
2022-05-13,energy,659,false,C
2020-10-06,will,532,true,C
2021-01-22,shake,441,true,D
2023-01-10,current,402,false,D
2022-02-22,out,47,false,A
2020-02-06,with,233,false,A
2023-10-31,attack,305,false,A
2020-12-09,population,526,false,A
2020-09-29,station,143,false,C
2020-11-15,message,415,true,B
2020-10-23,throughout,513,false,D
2023-12-16,I,373,true,B
2021-08-17,practice,566,false,D
2020-12-03,tax,886,false,C
2021-09-07,force,259,true,A
2022-02-21,include,656,true,A
2022-11-22,thank,471,false,D
2021-10-12,tax,953,false,C
2022-03-21,quality,971,false,D
2021-07-23,none,12,true,A
2023-04-15,computer,330,true,C
2020-11-22,expert,736,false,B
2023-08-26,offer,784,false,D
2021-03-22,memory,968,false,C
2020-11-20,suggest,358,false,D
2022-12-06,it,972,false,D
2022-05-04,car,408,false,D
2021-08-02,real,668,false,B
2021-12-04,sound,373,true,B
2020-08-01,middle,8,false,B
2021-06-08,recognize,122,false,C
2022-09-17,thing,348,true,A
2021-02-26,cold,676,false,C
2023-08-02,edge,90,true,C
2023-01-16,cold,648,false,D
2020-07-04,fact,698,false,D
2023-02-25,return,316,false,B
2021-11-15,seek,178,true,B
2021-03-02,less,540,false,B
2022-11-27,Democrat,732,false,C
2022-03-20,just,869,true,A
2023-09-10,man,41,true,B
2021-02-01,particular,740,false,A
2022-02-23,campaign,704,false,D
2022-10-02,conference,923,false,A
2021-05-09,subject,502,true,A
2020-03-16,effort,959,false,A
2023-02-05,east,145,false,D
2022-02-16,similar,201,false,B
2021-07-29,buy,929,false,A
2021-10-02,figure,724,false,D
2021-06-13,box,461,false,B
2020-09-01,guess,732,true,B
2020-11-16,little,752,false,A
2022-02-25,why,925,true,C
2022-02-11,particular,909,false,C
2023-10-15,call,558,false,D
2020-12-29,treatment,547,false,A
2023-04-10,vote,253,false,D
2023-04-03,recently,390,true,B
2021-06-06,discussion,594,false,A
2021-04-20,apply,883,true,C
2023-01-13,meeting,256,false,C
2022-03-27,race,709,false,A
2021-07-02,ability,815,true,B
2021-11-12,player,921,false,A
2021-10-09,so,450,true,B
2022-03-12,story,10,true,D
2021-04-07,spend,824,true,D
2021-05-08,administration,798,false,D
2021-11-30,question,242,true,D
2020-04-23,mission,251,false,B
